Year,Units,Գտնվելու վայրը,Value
2015,%,,96.9
2015,%,քաղաք,99.7
2015,%,գյուղ,92.0
2020,%,,70.3
2020,%,քաղաք,91.5
2020,%,գյուղ,40.4
2021,%,,69.9
2021,%,քաղաք,92.0
2021,%,գյուղ,40.0
2022,%,,72.1
2022,%,քաղաք,90.5
2022,%,գյուղ,44.5
2023,%,,73.8
2023,%,քաղաք,92.8
2023,%,գյուղ,46.3
