Year,Units,Категория,Value
2015,"1,000 тонна",Food loss,579.9
2016,"1,000 тонна",Food loss,523.4
2017,"1,000 тонна",Food loss,499.0
2018,"1,000 тонна",Food loss,363.0
2019,"1,000 тонна",Food loss,273.8
2020,"1,000 тонна",Food loss,256.1
2021,"1,000 тонна",Food loss,217.2
2022,"1,000 тонна",Food loss,211.9
2023,"1,000 тонна",Food loss,232.9
