Year,Value,Units
2015,429.11,վատտ
2016,439.29,վատտ
2017,447.76,վատտ
2018,457.15,վատտ
2019,468.22,վատտ
2020,488.89,վատտ
2021,518.09,վատտ
2022,593.52,վատտ
2023,620.46,վատտ
2024,674.06,վատտ
