Year,Value,Units,Series
2010,52.917,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2011,56.662,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2012,52.872,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2013,47.439,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2014,42.963,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2015,47.511,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2016,41.97,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2017,39.128,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2018,38.466,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2019,40.66,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2020,35.253,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2021,37.388,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2022,34.045,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2023,30.108,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Ամբողջ տարածք
2010,60.099,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2011,64.869,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2012,60.722,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2013,54.279,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2014,49.207,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2015,54.62,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2016,47.845,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2017,45.017,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2018,44.307,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2019,46.7,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2020,40.957,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2021,42.816,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2022,39.399,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2023,34.882,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Քաղաք
2010,35.842,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2011,38.565,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2012,35.92,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2013,32.191,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2014,29.167,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2015,32.324,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2016,28.575,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2017,26.728,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2018,26.206,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2019,27.925,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2020,24.179,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2021,25.602,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2022,23.45,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2023,20.842,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],գյուղ
2010,48.344,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2011,51.621,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2012,48.41,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2013,43.399,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2014,39.414,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2015,43.547,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2016,38.626,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2017,36.234,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2018,35.421,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2019,37.785,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2020,32.739,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2021,34.722,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2022,31.62,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2023,28.117,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],Փոքր քաղաք և կիսախիտ բնակեցված
2010,55.163,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2011,59.205,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2012,55.482,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2013,49.482,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2014,44.765,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2015,49.419,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2016,43.599,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2017,41.063,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2018,40.152,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2019,42.462,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2020,36.771,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2021,39.064,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2022,35.483,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
2023,31.531,Միկրոգրամներ մեկ խորանարդ մետրի համար [մկգ/մ3],քաղաք
