Year,Value,Units,Series
2015,414.6688,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2016,337.0788,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2017,333.3499,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2018,265.0118,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2019,318.1041,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2020,280.111,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2021,379.7455,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2022,445.7581,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
2023,167.8277,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ)
