Year,Value,Units
2015,6.9,"100,000 բնակչի հաշվով"
2016,6.5,"100,000 բնակչի հաշվով"
2017,5.3,"100,000 բնակչի հաշվով"
2018,6.0,"100,000 բնակչի հաշվով"
2018,5.2,"100,000 բնակչի հաշվով"
2019,5.2,"100,000 բնակչի հաշվով"
2020,6.2,"100,000 բնակչի հաշվով"
2021,6.4,"100,000 բնակչի հաշվով"
