Year,Value,Units,Series
2022,0.5625,%,Անվտանգ մաքրված կենցաղային կեղտաջրերի հոսքերի համամասնությունը
2024,0.5564,%,Անվտանգ մաքրված կենցաղային կեղտաջրերի հոսքերի համամասնությունը
2022,225.5,million m3/year,Ընդհանուր արտադրված կեղտաջրեր
2022,112.4,million m3/year,Մաքրված կեղտաջրերի ընդհանուր քանակը
2022,49.8,%,Մաքրված կեղտաջրերի համամասնությունը՝ ըստ գործունեության տեսակների և գտնվելու վայրի
2022,0.4,million m3/year,Անվտանգ մաքրված կեղտաջրերի ընդհանուր քանակը
2022,0.177,%,Անվտանգ կերպով մաքրված կեղտաջրերի համամասնությունը՝ ըստ գործունեության տեսակների և գտնվելու վայրի
