Year,Value,Units,Series
2015,57.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2016,55.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2017,52.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2018,50.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2019,,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2020,59.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2021,,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2022,60.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2023,,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2024,63.0,Ինդեքս 0-ից մինչև 100,Բաց տվյալների գրանցամատյան (ODIN) Ընդգրկման ինդեքս
2016,60.24,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2017,60.64,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2018,59.94,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2019,58.29,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2020,59.24,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2021,65.88,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2022,64.56,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2023,64.56,0 to 100 scale,Տվյալների աղբյուրների կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 4-րդ հենասյուն)
2016,75.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2017,80.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2018,85.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2019,85.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2020,85.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2021,90.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2022,90.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
2023,90.0,0 to 100 scale,Տվյալների ենթակառուցվածքի կատարողականի ինդեքս (Վիճակագրական կատարողականի ցուցանիշների 5-րդ հենասյուն)
