Year,Value,Units,Series
2015,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2016,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2017,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2018,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2019,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2020,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2021,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2022,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2023,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2024,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2025,13,թվաքանակ,Անհայտ ռիսկի կարգավիճակ ունեցող տեղական ցեղատեսակների քանակը
2015,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2016,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2017,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2018,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2019,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2020,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2021,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2022,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2023,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2024,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2025,13,թվաքանակ,Տեղական ցեղատեսակների քանակը (ոչ թե անհետացած)
2015,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2016,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2017,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2018,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2019,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2020,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2021,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2022,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2023,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2024,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2025,24,թվաքանակ,Անդրսահմանային տեսակների քանակը (ոչ թե անհետացած)
2015,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2016,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2017,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2018,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2019,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2020,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2021,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2022,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2023,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2024,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
2025,24,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը՝ անհայտ ռիսկի կարգավիճակով
