Year,Value,Units
2015,104.1,%
2016,100.8,%
2017,108.2,%
2018,105.8,%
2019,108.0,%
2020,92.9,%
2021,105.8,%
2022,112.3,%
2023,107.1,%
2024,103.5,%
2025,105.2,%
