Year,Value,Units
2015,173.5,մլն. ԱՄՆ դոլար
2016,142.6,մլն. ԱՄՆ դոլար
2017,177.7,մլն. ԱՄՆ դոլար
2018,195.0,մլն. ԱՄՆ դոլար
2019,-38.8,մլն. ԱՄՆ դոլար
2020,-88.3,մլն. ԱՄՆ դոլար
2021,255.2,մլն. ԱՄՆ դոլար
2022,417.3,մլն. ԱՄՆ դոլար
2023,644.5,մլն. ԱՄՆ դոլար
2024,-120.9,մլն. ԱՄՆ դոլար
