Year,Value,Units
2013,5.2,millions USD
2014,4.6,millions USD
2015,3.8,millions USD
2016,3.7,millions USD
2017,6.6,millions USD
2018,4.9,millions USD
2019,5.8,millions USD
2020,4.5,millions USD
2021,4.3,millions USD
2022,4.4,millions USD
