Year,Value,Units
2015,2.3,"100,000 բնակչի հաշվով"
2016,1.2,"100,000 բնակչի հաշվով"
2017,1.1,"100,000 բնակչի հաշվով"
2018,1.2,"100,000 բնակչի հաշվով"
2019,0.8,"100,000 բնակչի հաշվով"
2020,0.2,"100,000 բնակչի հաշվով"
2021,0.2,"100,000 բնակչի հաշվով"
2022,0.0,"100,000 բնակչի հաշվով"
2023,0.2,"100,000 բնակչի հաշվով"
