Year,Units,Սեռ,Value
2017,%,,68.2
2017,%,արական,65.0
2017,%,իգական,71.2
2018,%,,71.5
2018,%,արական,67.2
2018,%,իգական,75.3
2019,%,,77.9
2019,%,արական,75.2
2019,%,իգական,80.4
2020,%,,80.7
2020,%,արական,78.0
2020,%,իգական,83.2
