Year,Units,Value
2015,Gg CO2-equivalent,11064.06
2016,Gg CO2-equivalent,11020.85
2017,Gg CO2-equivalent,11380.87
2018,Gg CO2-equivalent,11001.25
2019,Gg CO2-equivalent,11552.53
2020,Gg CO2-equivalent,11694.76
2021,Gg CO2-equivalent,12663.81
2022,Gg CO2-equivalent,12932.2
