Year,Units,Value
2015,"1,000 tons",579.9
2016,"1,000 tons",523.4
2017,"1,000 tons",499.0
2018,"1,000 tons",363.0
2019,"1,000 tons",273.8
2020,"1,000 tons",256.1
2021,"1,000 tons",230.5
