Year,Group,Units,Value
2015,Armenia,mln.USD,2.3544
2016,Armenia,mln.USD,146.4142
2017,Armenia,mln.USD,25.0052
2018,Armenia,mln.USD,30.9129
2019,Armenia,mln.USD,59.5674
2020,Armenia,mln.USD,3.1521
2021,Armenia,mln.USD,30.3691
2022,Armenia,mln.USD,6.8295
2023,Armenia,mln.USD,6.8261
