Year,Units,Location,Value
2015,%,,100.0
2015,%,urban,100.0
2015,%,rural,100.0
2016,%,,99.8
2016,%,urban,99.8
2016,%,rural,99.7
2017,%,,99.7
2017,%,urban,99.8
2017,%,rural,99.7
2018,%,,99.9
2018,%,urban,99.9
2018,%,rural,99.9
2019,%,,100.0
2019,%,urban,100.0
2019,%,rural,100.0
2020,%,,100.0
2020,%,urban,100.0
2020,%,rural,100.0
2021,%,,100.0
2021,%,urban,100.0
2021,%,rural,100.0
2022,%,,100.0
2022,%,urban,100.0
2022,%,rural,100.0
2023,%,,100.0
2023,%,urban,100.0
2023,%,rural,100.0
