Year,Группа,Units,Value
2015,Армения,млн. долл. США,2.3544
2016,Армения,млн. долл. США,146.4142
2017,Армения,млн. долл. США,25.0052
2018,Армения,млн. долл. США,30.9129
2019,Армения,млн. долл. США,59.5674
2020,Армения,млн. долл. США,3.1521
2021,Армения,млн. долл. США,30.3691
2022,Армения,млн. долл. США,6.8295
2023,Армения,млн. долл. США,6.8261
