Year,Units,Կատեգորիա,Տեսակ,Value
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,9e-05
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,0.0
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,0.0001
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,1e-05
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0003
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0003
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0004
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0004
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0003
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Waste for final treatment and disposal,-0.0003
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,14.0
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,17.8
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,18.2
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,16.3
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,19.5
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,21.7
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,22.6
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,21.7
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,20.1
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Total or no breakdown,20.4
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,3.0
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.8
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.6
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.3
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.2
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.3
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.3
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,2.1
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,1.9
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Biomass,1.9
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.8
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.8
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.9
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.8
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Fossil fuels,0.7
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,8.4
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,13.0
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,12.9
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,10.8
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,14.1
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,16.2
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,16.8
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,16.3
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,15.3
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Metal ores,15.5
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.1
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.1
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.3
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.2
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.4
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.4
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.4
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.4
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.3
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Mixed and complex products n.e.c.,0.3
2015,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,1.8
2016,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,1.2
2017,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,1.7
2018,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,2.2
2019,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,2.0
2020,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,2.0
2021,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,2.2
2022,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,2.0
2023,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,1.8
2024,tonnes,"Ներքին նյութական սպառում, ըստ հումքի տեսակիl",Non-metallic minerals,1.9
2015,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,2e-05
2016,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,0.0
2017,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,3e-05
2018,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,0.0
2019,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2020,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2021,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2022,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2023,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2024,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Waste for final treatment and disposal,-0.0001
2015,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,3.7
2016,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,4.6
2017,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,4.4
2018,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,3.7
2019,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,4.2
2020,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,5.0
2021,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,4.8
2022,kilograms per constant 2020 United States dollars,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Total or no breakdown,4.1
