Year,Units,Пол,Возраст,Value
2022,человек,женщина,,8
2022,человек,,до 6 месяцов,0
20222,человек,мужчина,до 6 месяцов,0
2022,человек,женщина,до 6 месяцов,0
2022,человек,,с 6 месяцев до 1 года,2
2022,человек,мужчина,с 6 месяцев до 1 года,0
2022,человек,женщина,с 6 месяцев до 1 года,2
2022,человек,,1-5 лет,8
2022,человек,мужчина,1-5 лет,3
2022,человек,женщина,1-5 лет,5
2022,человек,,6-9 лет,1
2022,человек,мужчина,6-9 лет,0
2022,человек,женщина,6-9 лет,1
2022,человек,,10-15 лет,0
2022,человек,мужчина,10-15 лет,0
2022,человек,женщина,10-15 лет,0
2022,человек,,16-17 лет,1
2022,человек,мужчина,16-17 лет,1
2022,человек,женщина,16-17 лет,0
2023,человек,,,18
2023,человек,мужчина,,8
2023,человек,женщина,,10
2023,человек,,до 6 месяцов,1
2023,человек,мужчина,до 6 месяцов,0
2023,человек,женщина,до 6 месяцов,1
2023,человек,,с 6 месяцев до 1 года,2
2023,человек,мужчина,с 6 месяцев до 1 года,1
2023,человек,женщина,с 6 месяцев до 1 года,1
2023,человек,,1-5 лет,5
2023,человек,мужчина,1-5 лет,1
2023,человек,женщина,1-5 лет,4
2023,человек,,6-9 лет,4
2023,человек,мужчина,6-9 лет,4
2023,человек,женщина,6-9 лет,0
2023,человек,,10-15 лет,3
2023,человек,мужчина,10-15 лет,2
2023,человек,женщина,10-15 лет,1
2023,человек,,16-17 лет,3
2023,человек,мужчина,16-17 лет,0
2023,человек,женщина,16-17 лет,3
