Year,Units,Category,Value
2015,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",42.11
2016,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",94.4821
2017,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",127.7922
2018,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",71.9602
2019,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",20.3673
2020,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",20.3919
2021,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",29.788
2022,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",23.2703
2023,millions USD,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2023 United States dollars)",26.3135
