Year,Units,Կատեգորիա,Տեսակ,Value
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,16.3
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,15.3
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,15.5
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.1
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.1
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.2
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.8
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.2
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.7
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,2.2
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,2.0
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,2.0
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,2.2
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,2.0
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.8
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.9
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,2e-05
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,0.0
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,3e-05
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,0.0
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0001
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,3.7
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,4.6
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,4.4
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,3.7
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,4.2
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,5.0
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,4.8
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,4.1
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,3.6
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,3.5
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.8
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.7
