Year,Units,Կատեգորիա,Տեսակ,Value
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,64767880.3
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,62427571.8
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,59216250.6
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,60648823.0
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,8734586.6
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,8186486.5
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,7467115.3
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,6810875.3
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,6293130.9
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,6702068.4
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,6531752.4
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,6129938.4
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,5579640.7
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,5678501.0
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2026161.7
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,1929822.7
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2068605.6
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2133311.3
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2257438.6
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2384998.6
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2562643.4
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2379503.6
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2169457.2
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,2174192.7
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,24557087.5
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,37982591.7
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,37648295.6
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,31319637.5
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,41022645.2
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,46737705.4
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,48341786.4
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,46993594.3
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,45134435.9
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,46138425.9
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),184187.6
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),212138.1
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),935023.5
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),726242.3
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1112176.6
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1099749.4
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1133013.9
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1083308.1
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1008957.4
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),1038128.2
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5248802.0
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,3594837.6
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,4851706.5
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,6423753.7
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5925494.0
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5878351.7
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,6199713.4
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5842251.9
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5324803.2
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,5620625.9
