Year,Units,Категория,Тип,Value
2020,тонны,Внутреннее материальное потребление по видам сырья,Неметаллические минералы,2.0
2021,тонны,Внутреннее материальное потребление по видам сырья,Неметаллические минералы,2.2
2022,тонны,Внутреннее материальное потребление по видам сырья,Неметаллические минералы,2.0
2023,тонны,Внутреннее материальное потребление по видам сырья,Неметаллические минералы,1.8
2024,тонны,Внутреннее материальное потребление по видам сырья,Неметаллические минералы,1.9
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,2e-05
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,0.0
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,3e-05
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,0.0
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Отходы для окончательной обработки и удаления,-0.0001
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,3.7
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,4.6
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,4.4
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,3.7
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,4.2
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,5.0
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,4.8
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,4.1
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,3.6
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Всего или без разбивки,3.5
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.8
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.7
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.6
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.5
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.5
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.5
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.5
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.4
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.3
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Биомасса,0.3
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.2
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.1
