Year,Series,Units,Value
2010,Вся территория,Микрограммы на кубический метр [мкг/м3],52.917
2011,Вся территория,Микрограммы на кубический метр [мкг/м3],56.662
2012,Вся территория,Микрограммы на кубический метр [мкг/м3],52.872
2013,Вся территория,Микрограммы на кубический метр [мкг/м3],47.439
2014,Вся территория,Микрограммы на кубический метр [мкг/м3],42.963
2015,Вся территория,Микрограммы на кубический метр [мкг/м3],47.511
2016,Вся территория,Микрограммы на кубический метр [мкг/м3],41.97
2017,Вся территория,Микрограммы на кубический метр [мкг/м3],39.128
2018,Вся территория,Микрограммы на кубический метр [мкг/м3],38.466
2019,Вся территория,Микрограммы на кубический метр [мкг/м3],40.66
2020,Вся территория,Микрограммы на кубический метр [мкг/м3],35.253
2021,Вся территория,Микрограммы на кубический метр [мкг/м3],37.388
2022,Вся территория,Микрограммы на кубический метр [мкг/м3],34.045
2023,Вся территория,Микрограммы на кубический метр [мкг/м3],30.108
2010,Город,Микрограммы на кубический метр [мкг/м3],60.099
2011,Город,Микрограммы на кубический метр [мкг/м3],64.869
2012,Город,Микрограммы на кубический метр [мкг/м3],60.722
2013,Город,Микрограммы на кубический метр [мкг/м3],54.279
2014,Город,Микрограммы на кубический метр [мкг/м3],49.207
2015,Город,Микрограммы на кубический метр [мкг/м3],54.62
2016,Город,Микрограммы на кубический метр [мкг/м3],47.845
2017,Город,Микрограммы на кубический метр [мкг/м3],45.017
2018,Город,Микрограммы на кубический метр [мкг/м3],44.307
2019,Город,Микрограммы на кубический метр [мкг/м3],46.7
2020,Город,Микрограммы на кубический метр [мкг/м3],40.957
2021,Город,Микрограммы на кубический метр [мкг/м3],42.816
2022,Город,Микрограммы на кубический метр [мкг/м3],39.399
2023,Город,Микрограммы на кубический метр [мкг/м3],34.882
2010,село,Микрограммы на кубический метр [мкг/м3],35.842
2011,село,Микрограммы на кубический метр [мкг/м3],38.565
2012,село,Микрограммы на кубический метр [мкг/м3],35.92
2013,село,Микрограммы на кубический метр [мкг/м3],32.191
2014,село,Микрограммы на кубический метр [мкг/м3],29.167
2015,село,Микрограммы на кубический метр [мкг/м3],32.324
2016,село,Микрограммы на кубический метр [мкг/м3],28.575
2017,село,Микрограммы на кубический метр [мкг/м3],26.728
2018,село,Микрограммы на кубический метр [мкг/м3],26.206
2019,село,Микрограммы на кубический метр [мкг/м3],27.925
2020,село,Микрограммы на кубический метр [мкг/м3],24.179
2021,село,Микрограммы на кубический метр [мкг/м3],25.602
2022,село,Микрограммы на кубический метр [мкг/м3],23.45
2023,село,Микрограммы на кубический метр [мкг/м3],20.842
2010,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],48.344
2011,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],51.621
2012,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],48.41
2013,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],43.399
2014,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],39.414
2015,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],43.547
2016,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],38.626
2017,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],36.234
2018,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],35.421
2019,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],37.785
2020,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],32.739
2021,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],34.722
2022,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],31.62
2023,Малый город и полуплотно населённая,Микрограммы на кубический метр [мкг/м3],28.117
2010,город,Микрограммы на кубический метр [мкг/м3],55.163
2011,город,Микрограммы на кубический метр [мкг/м3],59.205
2012,город,Микрограммы на кубический метр [мкг/м3],55.482
2013,город,Микрограммы на кубический метр [мкг/м3],49.482
2014,город,Микрограммы на кубический метр [мкг/м3],44.765
2015,город,Микрограммы на кубический метр [мкг/м3],49.419
2016,город,Микрограммы на кубический метр [мкг/м3],43.599
2017,город,Микрограммы на кубический метр [мкг/м3],41.063
2018,город,Микрограммы на кубический метр [мкг/м3],40.152
2019,город,Микрограммы на кубический метр [мкг/м3],42.462
2020,город,Микрограммы на кубический метр [мкг/м3],36.771
2021,город,Микрограммы на кубический метр [мкг/м3],39.064
2022,город,Микрограммы на кубический метр [мкг/м3],35.483
2023,город,Микрограммы на кубический метр [мкг/м3],31.531
