Year,Units,Value
2015,"на 100,000 населения",2.3
2016,"на 100,000 населения",1.2
2017,"на 100,000 населения",1.1
2018,"на 100,000 населения",1.2
2019,"на 100,000 населения",0.8
2020,"на 100,000 населения",0.2
