Year,Units,Место нахождения,Value
2015,%,,96.5
2020,%,,97.6
2020,%,город,99.1
2020,%,село,94.7
2021,%,,98.1
2021,%,город,99.5
2021,%,село,96.1
2022,%,,98.0
2022,%,город,99.2
2022,%,село,96.2
2023,%,,97.9
2023,%,город,98.9
2023,%,село,96.5
2024,%,,98.7
2024,%,город,99.0
2024,%,село,98.0
