Year,Series,Units,Value
2015,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,47.3
2016,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,52.2
2017,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,72.5
2018,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,69.7
2019,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,49.0
2020,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,23.3
2021,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,26.5
2022,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,13.0
2023,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,28.8
2024,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки",%,30.2
2020,Общий объем образующихся сточных вод,million m3/year,777.1
2021,Общий объем образующихся сточных вод,million m3/year,802.6
2022,Общий объем образующихся сточных вод,million m3/year,888.3
2023,Общий объем образующихся сточных вод,million m3/year,721.9
2024,Общий объем образующихся сточных вод,million m3/year,815.2
