Year,Group,Value
2019,Pre-primary,75.9
2020,Pre-primary,75.1
2021,Pre-primary,74.7
2022,Pre-primary,72.9
2023,Pre-primary,74.3
2019,Начальное,73.6
2020,Начальное,75.1
2021,Начальное,73.9
2022,Начальное,81.3
2023,Начальное,84.1
2019,Среднее,73.6
2020,Среднее,75.1
2021,Среднее,73.8
2022,Среднее,81.3
2023,Среднее,84.1
2019,Высшее,75.4
2020,Высшее,77.1
2021,Высшее,76.0
2022,Высшее,83.0
2023,Высшее,85.8
