Year,Units,Value
2015,млн. долл. США,43.33
2016,млн. долл. США,38.13
2017,млн. долл. США,91.09
2018,млн. долл. США,71.29
2019,млн. долл. США,7.03
2020,млн. долл. США,12.6
2021,млн. долл. США,19.01
2022,млн. долл. США,23.64
2023,млн. долл. США,23.38
