Year,Units,Пол,Value
2015,"на 1,000 живорожденных",,10.4
2016,"на 1,000 живорожденных",,10.1
2017,"на 1,000 живорожденных",,9.6
2018,"на 1,000 живорожденных",,8.7
2019,"на 1,000 живорожденных",,7.5
2020,"на 1,000 живорожденных",,8.2
2021,"на 1,000 живорожденных",,8.1
