Year,Units,Категория,Value
2015,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.1327
2016,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.1255
2017,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0748
2018,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0706
2019,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0741
2020,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0646
2021,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.1097
2022,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0451
2023,%,"Гранты официальной помощи в целях развития (ОПР), направленные на сокращение бедности, по странам-получателям (в процентах от валового национального дохода — ВНД)",0.0597
