Year,Units,Категория,Value
2015,%,,23.2
2016,%,,23.1
2017,%,,22.2
2018,%,,22.3
2019,%,,23.9
2020,%,,25.3
2015,%,налоги и пошлины,21.2
2016,%,налоги и пошлины,21.3
2017,%,налоги и пошлины,20.8
2018,%,налоги и пошлины,20.9
2019,%,налоги и пошлины,22.4
2020,%,налоги и пошлины,22.4
2015,%,прочие доходы,1.4
2016,%,прочие доходы,1.2
2017,%,прочие доходы,1.2
2018,%,прочие доходы,1.2
2019,%,прочие доходы,1.3
2020,%,прочие доходы,2.0
2015,%,официальные трансферты,0.6
2016,%,официальные трансферты,0.6
2017,%,официальные трансферты,0.3
2018,%,официальные трансферты,0.2
2019,%,официальные трансферты,0.2
2020,%,официальные трансферты,0.9
