Year,Conventions (dates and places of adoption),Units,Value
1997,"ՄԱԿ-ի ԵՏՀ «Մեծ հեռավորությունների վրա օդի անդրսահմանային աղտոտվածության մասին» կոնվենցիա (Ժնև, 1979թ.)","այո=1, ոչ=0",1
1997,"ՄԱԿ-ի ԵՏՀ «Արդյունաբերական վթարների անդրսահմանային ներգործության մասին» կոնվենցիա (Հելսինկի, 1992թ.)","այո=1, ոչ=0",1
1999,"«Վտանգավոր թափոնների անդրսահմանային փոխադրման և դրանց հեռացման նկատմամբ հսկողություն սահմանելու մասին» կոնվենցիա (Բազել, 1989թ.)","այո=1, ոչ=0",1
1999,"«Օզոնային շերտի պահպանության մասին» կոնվենցիա (Վիեննա, 1985թ.)","այո=1, ոչ=0",1
2003,"«Միջազգային առևտրում առանձին վտանգավոր քիմիական նյութերի և պեստիցիդների վերաբերյալ նախնական հիմնավորված համաձայնության ընթացակարգի կիրառման մասին» կոնվենցիա  (Ռոտերդամ, 1998թ.)","այո=1, ոչ=0",1
2003,"«Կայուն օրգանական աղտոտիչների մասին» կոնվենցիա (Ստոկհոլմ, 2001թ.)","այո=1, ոչ=0",1
2017,"Սնդիկի վերաբերյալ Մինամատայի կոնվենցիա (Կումամոտո, 2013)","այո=1, ոչ=0",1
