Year,Units,Value
2015,1000 ԱՄՆ դոլար,4422.53
2016,1000 ԱՄՆ դոլար,4607.0
2017,1000 ԱՄՆ դոլար,11799.49
2018,1000 ԱՄՆ դոլար,98302.93
2019,1000 ԱՄՆ դոլար,460342.24
2020,1000 ԱՄՆ դոլար,4703.12
2021,1000 ԱՄՆ դոլար,5090.0
2022,1000 ԱՄՆ դոլար,7559.2
2023,1000 ԱՄՆ դոլար,5521.4
2024,1000 ԱՄՆ դոլար,9842.5
