"Year","Units","Location","Value"
"2015","%","","96.9"
"2015","%","urban","99.7"
"2015","%","rural","92.0"
"2020","%","","70.3"
"2020","%","urban","91.5"
"2020","%","rural","40.4"
"2021","%","","69.9"
"2021","%","urban","92.0"
"2021","%","rural","40.0"
"2022","%","","72.1"
"2022","%","urban","90.5"
"2022","%","rural","44.5"
"2023","%","","73.8"
"2023","%","urban","92.8"
"2023","%","rural","46.3"
"2024","%","","79.0"
"2024","%","uban","94.1"
"2024","%","rural","51.2"
