"Year","Units","Sex","Value"
"2007","%","","27"
"2007","%","male","54.7"
"2007","%","female","1.6"
"2009","%","","26.8"
"2009","%","male","52"
"2009","%","female","1.5"
"2015","%","","31.3"
"2015","%","male","61.4"
"2015","%","female","1.2"
"2016","%","","26.2"
"2016","%","male","53.4"
"2016","%","female","2.3"
"2022","%","","25.2"
"2022","%","male","53.2"
"2022","%","female","2"
