"Year","Units","Value"
"2018","Unit","0.75"
"2019","Unit","0.75"
"2020","Unit","0.70"
"2021","Unit","0.93"
"2022","Unit","1.0"
"2023","Unit","1.0"
"2024","Unit","1.0"
