Year,Group,Units,Value
2015,Armenia,mln. USD,2.465
2016,Armenia,mln. USD,148.7718
2017,Armenia,mln. USD,25.9703
2018,Armenia,mln. USD,32.1407
2019,Armenia,mln. USD,61.8884
2020,Armenia,mln. USD,3.2597
2021,Armenia,mln. USD,31.0046
2022,Armenia,mln. USD,7.0632
2023,Armenia,mln. USD,7.0321
2024,Armenia,mln. USD,23.8521
