"Year","Units","Value"
"2015","mln. USD","173.5"
"2016","mln. USD","142.6"
"2017","mln. USD","177.7"
"2018","mln. USD","195.0"
"2019","mln. USD","-38.8"
"2020","mln. USD","-88.3"
"2021","mln. USD","255.2"
"2022","mln. USD","417.3"
"2023","mln. USD","644.5"
"2024","mln. USD","-120.9"
