"Year","Units","Value"
"2015","%","10.58"
"2016","%","10.57"
"2017","%","10.0"
"2018","%","8.99"
"2019","%","8.08"
"2020","%","8.12"
"2021","%","7.59"
"2022","%","6.7"
"2023","%","5.23"
"2024","%","4.51"
