"Year","Units","Value"
"2013","millions USD","5.2"
"2014","millions USD","4.6"
"2015","millions USD","3.8"
"2016","millions USD","3.7"
"2017","millions USD","6.6"
"2018","millions USD","4.9"
"2019","millions USD","5.8"
"2020","millions USD","4.5"
"2021","millions USD","4.3"
"2022","millions USD","4.4"
