"Year","Units","Category","Value"
"2015","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.1"
"2016","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.2"
"2017","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.2"
"2018","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.2"
"2019","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.1"
"2020","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.07"
"2015","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","6.2"
"2016","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","5.9"
"2017","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","5.8"
"2018","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","5.9"
"2019","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","5.8"
"2020","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","5.7"
"2015","%","equal to or greater than 10 Mbit/s","3.2"
"2016","%","equal to or greater than 10 Mbit/s","3.9"
"2017","%","equal to or greater than 10 Mbit/s","4.6"
"2018","%","equal to or greater than 10 Mbit/s","5.6"
"2019","%","equal to or greater than 10 Mbit/s","7.1"
"2020","%","equal to or greater than 10 Mbit/s","8.76"
"2021","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.04"
"2021","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","4.59"
"2021","%","equal to or greater than 10 Mbit/s","11.12"
"2022","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.02"
"2022","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","3.01"
"2022","%","equal to or greater than 10 Mbit/s","14.18"
"2023","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.01"
"2023","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","2.42"
"2023","%","equal to or greater than 10 Mbit/s","15.98"
"2024","%","equal to or greater than 256 kbit/s and less than 2 Mbit/s","0.008"
"2024","%","equal to or greater than 2 Mbit/s and less than 10 Mbit/s","1.73"
"2024","%","equal to or greater than 10 Mbit/s","18.16"
