"Series","Units","Age","Year","Sex","Type of occupation","Value"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","BOTHSEX","isco08-7","546.17"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","BOTHSEX","isco08-8","588.44"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","BOTHSEX","isco08-9","433.45"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","total","519.89"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-1","930.49"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-2","675.51"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-3","465.7"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-4","461.56"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-5","376.98"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-6","399.17"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-7","411.44"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-8","492.0"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","FEMALE","isco08-9","395.72"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","total","661.29"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-1","884.29"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-2","937.82"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-3","751.8"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-4","605.36"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-5","553.62"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-6","401.27"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-7","597.21"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-8","594.59"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2017","MALE","isco08-9","469.84"
