"Year","Units","Location","Value"
"2015","%","","96.5"
"2020","%","","97.6"
"2020","%","urban","99.1"
"2020","%","rural","94.7"
"2021","%","","98.1"
"2021","%","urban","99.5"
"2021","%","rural","96.1"
"2022","%","","98.0"
"2022","%","urban","99.2"
"2022","%","rural","96.2"
"2023","%","","97.9"
"2023","%","urban","98.9"
"2023","%","rural","96.5"
"2024","%","","98.7"
"2024","%","urban","99.0"
"2024","%","rural","98.0"
