"Year","Units","Value"
"2015","վտ","0.33"
"2016","վտ","0.33"
"2017","վտ","1.46"
"2018","վտ","6.04"
"2019","վտ","14.48"
"2020","վտ","31.61"
"2021","վտ","63.0"
"2022","վտ","137.10"
"2023","վտ","163.76"
