Year,Units,Value
2015,millions US dollars,42.1100
2016,millions US dollars,94.4821
2017,millions US dollars,127.7922
2018,millions US dollars,71.9602
2019,millions US dollars,20.3673
2020,millions US dollars,20.3919
2021,millions US dollars,29.7880
2022,millions US dollars,23.2703
2023,millions US dollars,26.3135
