"Year","Units","Sex","Value"
"2015","per 1,000 life births","Total","8.8"
"2016","per 1,000 life births","Total","8.6"
"2017","per 1,000 life births","Total","8.2"
"2018","per 1,000 life births","Total","7.1"
"2019","per 1,000 life births","Total","6.1"
"2020","per 1,000 life births","Total","7.4"
"2021","per 1,000 life births","Total","6.9"
"2015","per 1,000 life births","boy","9.4"
"2016","per 1,000 life births","boy","9.9"
"2017","per 1,000 life births","boy","8.8"
"2018","per 1,000 life births","boy","7.4"
"2019","per 1,000 life births","boy","6.8"
"2020","per 1,000 life births","boy","8.2"
"2021","per 1,000 life births","boy","7.8"
"2015","per 1,000 life births","girl","8.2"
"2016","per 1,000 life births","girl","7.3"
"2017","per 1,000 life births","girl","7.6"
"2018","per 1,000 life births","girl","6.8"
"2019","per 1,000 life births","girl","5.3"
"2020","per 1,000 life births","girl","6.4"
"2021","per 1,000 life births","girl","5.9"
