"Year","Units","category","Value"
"2014","a.v.","total","569"
"2015","a.v.","total","600"
"2016","a.v.","total","554"
"2017","a.v.","total","589"
"2018","a.v.","total","647"
"2019","a.v.","total","510"
"2020","a.v.","total","450"
"2021","a.v.","total","557"
"2022","a.v.","total","618"
"2023","a.v.","total","922"
