Year,Units,Value
2015,mln. USD,43.33
2016,mln. USD,38.13
2017,mln. USD,91.09
2018,mln. USD,71.29
2019,mln. USD,7.03
2020,mln. USD,12.6
2021,mln. USD,19.01
2022,mln. USD,23.64
2023,mln. USD,23.38
