Year,Units,Место нахождения,Value
2015,%,,96.9
2015,%,город,99.7
2015,%,село,92.0
2020,%,,70.3
2020,%,город,91.5
2020,%,село,40.4
2021,%,,69.9
2021,%,город,92.0
2021,%,село,40.0
2022,%,,72.1
2022,%,город,90.5
2022,%,село,44.5
2023,%,,73.8
2023,%,город,92.8
2023,%,село,46.3
