Year,Units,Տեսակ,Value
2018,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2018,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2019,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2019,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2019,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2019,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2019,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2019,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2019,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2019,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2020,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2020,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2020,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2020,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2020,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2020,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2020,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2020,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2021,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2021,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2021,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2021,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2021,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2021,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2021,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2021,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2022,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2022,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2022,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2022,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2022,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2022,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2022,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2022,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,233
2023,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2023,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2023,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2023,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2023,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2023,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2023,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2023,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,233
