Year,Units,Աղետի տեսակ,Value
2020,"person per 100,000 population",տարերային աղետներ,
2020,"person per 100,000 population",տեխնածին աղետներ,
2020,"person per 100,000 population",սոցիալ-կենսաբանական աղետներ,5393.9
2021,"person per 100,000 population",տարերային աղետներ,
2021,"person per 100,000 population",տեխնածին աղետներ,
2021,"person per 100,000 population",սոցիալ-կենսաբանական աղետներ,6253.3
2022,"person per 100,000 population",տարերային աղետներ,
2022,"person per 100,000 population",տեխնածին աղետներ,
2022,"person per 100,000 population",սոցիալ-կենսաբանական աղետներ,3409.3
2023,"person per 100,000 population",տարերային աղետներ,
2023,"person per 100,000 population",տեխնածին աղետներ,
2023,"person per 100,000 population",սոցիալ-կենսաբանական աղետներ,197.7
2024,"person per 100,000 population",տարերային աղետներ,14.8
2024,"person per 100,000 population",տեխնածին աղետներ,
2024,"person per 100,000 population",սոցիալ-կենսաբանական աղետներ,88.6
2020,"person per 100,000 population",,5393.9
2021,"person per 100,000 population",,6253.3
2022,"person per 100,000 population",,3409.3
2023,"person per 100,000 population",,197.7
2024,"person per 100,000 population",,103.4
