Value,Disaggregation combinations using this value,Number of indicators
14.5,1,1
16.18,1,1
16.69,1,1
16.76,1,1
16.93,1,1
17.2,1,1
17.58,1,1
17.66,1,1
18.57,1,1
19.91,1,1
19.95,1,1
20.15,1,1
20.32,1,1
