Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1-a
#1-3-1-b
#1-3-1-c
#1-3-1-d
#1-3-1-g
#1-3-1-h
#1-3-1-i
#1-3-1-j
#1-3-1-ja
#1-3-1-jb
#1-4-1
#11-1-1-a (1)
#16-2-1
#16-2-2
#16-6-2
#16-9-1
#17-8-1
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-2-2-a
#3-9-1
#3-9-3
#3-a-1
#3-b-1
#4-1-1-b
#4-1-1-c
#4-2-2-a
#4-3-1-a
#4-6-1-a
#5-b-1
#8-10-2
#8-3-1
#8-5-1-a
#8-5-2
#8-6-1
#8-7-1
#8-8-1
#9-2-2
