Indicator
#1-1-1
#1-2-1
#1-3-1-a
#1-4-1
#11-1-1
#11-1-1-a
#16-6-2
#3-7-2
#3-7-2-a
#3-8-2
#5-5-2
#5-a-1-a-a
#5-b-1-a
#6-1-1
#6-1-1-a
#6-2-1
#6-2-1-a
#6-2-1-b
#7-1-1
#7-1-2
#8-3-1
#8-5-2
#8-6-1
#8-7-1
#9-2-2
