Value,Disaggregation combinations using this value,Number of indicators
-3.49,1,1
10.3,1,1
12.0,1,1
14.76,1,1
17.4,1,1
27.07,1,1
27.86,1,1
6.4,1,1
7.01,1,1
7.61,1,1
8.36,1,1
8.6,1,1
9.02,1,1
