Value,Disaggregation combinations using this value,Number of indicators
12.69,1,1
13.95,1,1
14.46,1,1
14.7,1,1
15.17,1,1
15.2,1,1
15.22,2,1
15.26,1,1
16.43,1,1
17.86,1,1
18.26,1,1
19.08,1,1
