Value,Disaggregation combinations using this value,Number of indicators
25.12,1,1
25.58,1,1
25.62,1,1
27.07,1,1
27.28,1,1
28.01,1,1
29.12,1,1
30.78,1,1
32.03,1,1
32.15,1,1
32.46,1,1
33.17,1,1
37.01,1,1
