Value,Disaggregation combinations using this value,Number of indicators
ADB,2,2
ECOSOC,2,2
IBRD,1,1
IFC,2,2
IMF,2,2
IRBD,1,1
IRDB,1,1
UNGA,2,2
WTO,2,2
