Value,Disaggregation combinations using this value,Number of indicators
-0.5,1,1
1.0,1,1
1.09,1,1
1.13,1,1
1.21,1,1
1.28,1,1
1.39,1,1
1.53,1,1
1.88,1,1
2.48,1,1
2.68,1,1
4.09,1,1
4.28,1,1
