Value,Disaggregation combinations using this value,Number of indicators
a1. Convention on Biological Diversity (CBD),1,1
a2. Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,1,1
b. SEEA Water accounts,1,1
