Value,Disaggregation combinations using this value,Number of indicators
102.39,1,1
108.8,1,1
111.66,1,1
116.62,1,1
122.67,1,1
126.05,1,1
129.37,1,1
141.69,1,1
142.31,1,1
142.36,1,1
170.77,1,1
88.73,1,1
92.19,1,1
